golden_id,customer_tweet_id,customer_text,brand_text,heuristic_bucket,suggested_intent,suggested_confidence,true_intent,true_escalate,escalate_reason
g0024,138114,pathetic customer service from Amazon India. Richa Mishra trying to get our prime membership reinstate. NO Help!!!!!.,You seem upset. Could you elaborate your concern? We'd like to help. ^MO,complaint_negative_other,complaint_negative_other,0.95,,,
g0025,2527596,the difficulty of adding an an address in your Android app is embarrassing,"I'm sorry for the difficulty. We're always looking for ways to improve and welcome your feedback: Select: or Something else 2.More order issues&gt; Give Amazon Feedback ""E-mail"" to contact us. ^SE",app_website_technical,app_website_technical,0.95,,,
g0026,1315526,YOUR WEBSITE IS GARBAGE! I couldn't check out and now the phone isn't available. F U!,place the order with us. Please stay tuned for the product to get back in stock again. 2/2 ^AB,app_website_technical,app_website_technical,0.95,,,
g0027,231498,I've spoken to your customer support 3 times today about this. I saw the delivery driver on cctv not even attempting to deliver my parcel.,I'd like a member of our team to review this for you. Please provide your order details here: ^RA,order_status_delivery,order_status_delivery,0.95,,,
g0028,2633026,Tirns out ive beencharged twice for both. Im not trusting the seller and these are the people your link takes me to. Im looking to speak to someone at Amazon itself and not the seller please?,I'm sorry about that! Give us a call here: so we can work on this with you. ^AH,billing_payment_issue,billing_payment_issue,0.95,,,
g0029,317727,"i ordered sunflame gas stove got defective product so i called for pickup , no one has come till now 408-6324541-6913919",Sorry for the delay. Contact our support team here: they will be assist you further.(1/2)^GU,product_quality_defect,refund_return_cancellation,0.95,,,
g0030,1148739,My problems have been well documented&amp;you should be able to see the notes. It is ridiculous that I have to contact you again!,We do not have account access here on Twitter. Please use the link provided above so we can look into this for you. ^TR,complaint_negative_other,complaint_negative_other,0.9,,,
g0031,2336967,is there anywhere I can make a suggestion for a better customer service experience?,We're always striving to improve! You can leave feedback regarding your experience through the Prime Now app. ^SB,unmatched,general_inquiry,0.95,,,
g0032,497350,"u sucks man ... prime member like faces this sort of service, not done at all .... not buying anything from again....",That's quite a remark. Apologies! Please elaborate your concern for us to assist you better. ^SV,complaint_negative_other,complaint_negative_other,0.95,,,
g0033,324126,Ur customer care guys talks like road side gunda always make fake promises. No use of customer care.And u Amazon is biggest cheater,I'm sorry about the unpleasant experience. Could you let us know if the order was returned or is it still in transit to you? ^HA,product_quality_defect,complaint_negative_other,0.95,,,
g0034,1191342,"Hi , can you please tell me how long the Kindle Anniversary Deals will be running? Thanks!",The Kindle Deals event will run from 9 p.m. Pacific time on Oct. 22 to 11:59 p.m. Pacific time on Oct. 25. ^PK,compliment_positive_feedback,general_inquiry,0.98,,,
g0035,1678561,Thank you for suggestions but I had called to the customer service they were not able to find my order details,Please drop in your details here: We'll connect with you shortly. ^MP 2/2,compliment_positive_feedback,order_status_delivery,0.9,,,
g0036,671718,Oops .. when it will get refunded in my IOB account? I need to recharge Amazon pay as my 2 items are in cart and I need to buy those soon.,I get your concern regarding the payment. I'd like to inform you that the bank would automatically reverse the charge to your account within 3-5 business. ^EM,refund_return_cancellation,refund_return_cancellation,0.95,,,
g0037,699480,"I really did it was extremely helpful, thank you again :)","You're very welcome, Katy. Have a lovely day :) ^GA",compliment_positive_feedback,compliment_positive_feedback,1.0,,,
g0038,2217341,"Wish I had the cables to actually record, but sucks a gorilla dick.",Terribly sorry for the problems you're having! Is this regarding a recent order? ^JZ,complaint_negative_other,complaint_negative_other,0.85,,,
g0039,1457955,I Was in Last week and now I'm not. Are you ok? Worst experience ever.,"I'm sorry for any troubles. Can you tell us which site you're using? i.e., .com, .br, .uk. We'd be happy to help! ^SK",complaint_negative_other,complaint_negative_other,0.8,,,
g0040,2386363,I already spoke to your customer care team and they are clueless and least bothered. I made a terrible mistake by ordering on,I’m sorry about the hassle. Please drop in your details here: We will sort this for you. ^SB,complaint_negative_other,complaint_negative_other,0.9,,,
g0041,1595377,I had a very strange experience with a customer service rep who fraudulently deducted several hundred dollars from my account.,"Thank you for reporting this. We'd like to investigate in real-time, please reach out by phone here: ^GR",account_security,billing_payment_issue,0.95,,,
g0042,128050,Reply ds first ..as per your mail..All the issues are at your end.. don't pretend to be stupid,The resolution provided over the email is accurate. Feel free to revert to our correspondence for further issues. Please don’t provide your details as we consider them to be personal information. Our Twitter page is visible to public. ^YP,complaint_negative_other,complaint_negative_other,0.85,,,
g0043,2302024,Hi I cancelled my kindle magazine but have paid till 31st Oct and its stopped already. Am I due a refund?,"With Twitter, we have no access to account info but we're here for you! Please, reach out here: ^JE",refund_return_cancellation,refund_return_cancellation,0.95,,,
g0044,1589427,No the refund to my debit card failed so I was asked to provide bank informaiton for a bank transfer refund.,Thank you for clarifying. Have you had a chance to reach us for next steps here: ^DW,refund_return_cancellation,refund_return_cancellation,0.95,,,
g0045,364690,I picked ups pick up return option because it said I didn’t need a printer. Next page opens up and it says print label? 🤷‍♂️,"No worries, the carrier will bring their own label if they're coming to do a pick up. ^NC",refund_return_cancellation,refund_return_cancellation,0.95,,,
g0046,726329,Thanks for the speedy help! All fixed and replacement ordered! Phew! 💕,Glad to hear John. Happy it's sorted. ☺️ ^PK,compliment_positive_feedback,compliment_positive_feedback,0.98,,,
g0047,669780,"Since it was gifted mobile, it crossed 12 days to reach the concern person, once opened it was known as defective product",Apologies for the trouble with the product you've received. Kindly reach out to our support team through the link provided earlier and we'll have this looked into right away. Do keep us posted. ^EM,product_quality_defect,product_quality_defect,0.95,,,
g0048,714763,I want my money back,I understand your frustration. Please contact us here via phone or chat so we can look into this: ^GG,refund_return_cancellation,refund_return_cancellation,0.95,,,
g0049,363363,No. Works fine accessing website via safari on iPhone.,"Thank you for bringing to our attention, we'll report this to the applicable team! ^NC",app_website_technical,app_website_technical,0.85,,,
g0050,2694955,Your “feedback” link also wont let me leave feedback on an order,"Hey Max! I am so sorry to hear about the negative experience. Just to clarify, have you contacted the seller directly? ^DY",app_website_technical,app_website_technical,0.95,,,
g0051,1387740,"As usual nothing came of it , no call backs or communication even after 9 hours of form filling . The repayment url would be closed by then.","I understand that this is taking little longer than expected, Abhishek. However, our team will check this and get back 1/2 ^NK",billing_payment_issue,billing_payment_issue,0.9,,,
g0052,2379706,"wha is your SLA for added money showing in amazon pay balance, its over 1 hr after payment processed, money still not showing.","That's strange, Vijay. Please get in touch with our support team using this link: and we'll assist you further. ^NK",billing_payment_issue,billing_payment_issue,0.95,,,
g0053,1820557,Not able to retrieve the password. Would be kind of u to respond in medsage box,We'll not be able to do so. Kindly connect with our specialist team here: and we'll 1/2 ^SH,account_security,account_security,0.95,,,
g0054,5803,#HappyHalloween2017 from your biggest fan. Thank you for creating #efficient and #healthy households nationwide!,"Thank YOU, Alisondra, for being one of our amazing customers! ^BE",compliment_positive_feedback,compliment_positive_feedback,0.95,,,
g0055,1266453,"There were 3 seperate charges... £6.99, and 2 £1 charges.",Thanks for the information! We'd like to have this looked into. Pls reach out to us by phone or chat: ^KJ,billing_payment_issue,billing_payment_issue,0.95,,,
g0056,1132127,I don't think it's anything nefarious but I get constant order and shipping confirmations for things I didn't buy which is super annoying,Gotcha! Reach out to us again here: and we can look into this further with you. ^TK,order_status_delivery,account_security,0.8,,,
g0057,1739087,How do I do that ?,At the bottom of the followup email you'll be presented with an optional survey. From here you can send feedback. ^TM,unmatched,general_inquiry,0.85,,,
g0058,2111113,"it´s a bit strange that won´t support chromecast on their app, not being able to Watch things on my tv kind of sucks","smart TVs from Samsung, Sony, and LG. We don't have any announcement for other living room devices, but stay tuned. (2/2)^BS",complaint_negative_other,app_website_technical,0.95,,,
g0059,765829,no option to do so,I'm sorry for the continued troubles. Will you please check here to verify that your LG television is compatible and let us know: ^SE,unmatched,app_website_technical,0.85,,,
g0060,551951,I cant wait to install this windshield wiper i got from the box (which was 6 x 6 x 4 feet) was fine but the wiper was folded in half inside 😑.,"Oh no! I'm sorry your windshield wiper arrived in this condition, Kyle! When you have a moment, please take a look here for refund or replacement options: Let us know if you need any further assistance. ^SM",unmatched,product_quality_defect,0.95,,,
g0061,3655,"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying",Sorry to hear this. Did you select Free delivery at the checkout? ^PK,order_status_delivery,billing_payment_issue,0.95,,,
g0062,2744185,dear team below i mentioned my order could u please sent me till 23-11-2017. its request to amazon team(india) thanks.,"Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^MK",compliment_positive_feedback,order_status_delivery,0.95,,,
g0063,2147938,Why there are no viewing rights for Suits Season 6 episode 10 onwards ???,"Unfortunately, these episodes/ this episode is no longer available. We’re constantly adding new content to our 1/2 ^EM",unmatched,general_inquiry,0.95,,,
g0064,2317087,ordered one single headband for a halloween costume and got this ridiculous amount of packaging??? why????,Thanks for sharing this with us! We're always looking for ways to improve. Please help us here: ^KJ,complaint_negative_other,complaint_negative_other,0.95,,,
g0065,609418,Thanks. First time error. Apologies,"We'd like to help, could you please confirm if your issue is been addressed? If not, kindly fill in your details here: We'll look into this for you. ^RB",app_website_technical,compliment_positive_feedback,0.8,,,
g0066,2290298,"I wanted to buy a prestige juicer from your site, done online payment twice but I don't know how it is cancelled.","I'm sorry about the canceled order, an email will be sent to your registered email account with cancellation reasons, kindly check &amp; keep us posted. ^MJ",refund_return_cancellation,billing_payment_issue,0.95,,,
g0067,1260151,No - if I try to review it only has the stars but the review box doesn't appear at all. I know that other bloggers are having same issue.,Has the order been confirmed as received? ^MC,unmatched,app_website_technical,0.95,,,
g0068,25927,reg. Ord 404-7091504-9405917. You should have alerted me regarding the deduction to my Amazon Pay Balance before doing so. #sucks,I'm sorry but I couldn't follow. Could you please elaborate on your concern? ^HA,complaint_negative_other,billing_payment_issue,0.95,,,
g0069,1307848,Please response as soon as possible or else I need to esc to higher level for such fraud to customers,Please fill in your details using the link: and I'll get in touch with you soon. ^AK (2/2),account_security,complaint_negative_other,0.85,,,
g0070,1030410,"I had made jio recharge few days back with , I am waiting for cashback from there.",Please report this to our support team here: and we'll look into this. 2/2 ^HD,billing_payment_issue,billing_payment_issue,0.85,,,
g0071,523433,"You can deliver my $10 cat food on time, but lose my $2400 lens? What gives?","I'm so sorry for the frustration! Have you had the chance to reach out to us to check on refund/replacement options? If not, please do so via phone/chat here: ^TN",order_status_delivery,order_status_delivery,0.95,,,
g0072,838325,I had bought it under festive offer. So it means u just show d lolipop of offer price.,Appreciate your understanding. Please place a new order.(2/2)^HR,billing_payment_issue,billing_payment_issue,0.9,,,
g0073,326298,406-5251809-1751532 why charges for amazon pantry when the order is above 1k,"Please don't provide your order details, we consider it personal information. Our Twitter page is public. [2/2] ^SK",billing_payment_issue,billing_payment_issue,1.0,,,
g0074,2532818,Not expected from you.. Priced at mrp320 but Recieved with mrp275. Look into this.,I get your concern. There may be cases where M.R.P. of the product delivered is different from the M.R.P. given on the ^MP 1/3,billing_payment_issue,billing_payment_issue,0.95,,,
g0075,9784,", #fake I phone 7 received from amazon , India - order ID: amazon India has refused to replace pictures attach herewith.",We've emailed you in response to the details you shared earlier. Please reply on the same for further assistance. 1/2 ^MK,product_quality_defect,product_quality_defect,0.95,,,
g0076,1129344,Your CS rep didn’t want to help transferred me to a department yhat had nothing to do with the order terrible CS,This is not the service we expect. Did you receive an email where you can leave feedback for the agent in question? ^TP,complaint_negative_other,complaint_negative_other,0.95,,,
g0077,1067699,I have filled the form and I am available now.,"Thank you for sharing the details, we'd get back to you on this shortly. Appreciate your cooperation. ^BS",app_website_technical,app_website_technical,0.7,,,
g0078,863847,Cant do it through twitter?,We don't have access to your account via Twitter. For the best and quickest solution please us the link ^GR provided. ^AC,unmatched,app_website_technical,0.85,,,
g0079,1211666,"Is this your official site or fake ? ,",That's not legit. Thanks for bringing this to our notice. You can find genuine Amazon jobs here: ^RI,product_quality_defect,general_inquiry,0.95,,,
g0080,2569168,"Which details now you want me, I already provide you order ID, now what do you want from me my password?",please drop in your issue details here: so that we can help you out. 2/2 ^NK,account_security,account_security,0.95,,,
g0081,627847,"if I don't like Alexa, how long do I have to return the Echo?",I'm sorry to inform you that we do not accept remorse return for the product. ^HR,refund_return_cancellation,refund_return_cancellation,0.95,,,
g0082,1433618,charger 4 new handheld vacuum snapped while connected. Prised out metal bit but it's unusable. Can I get replacement charger?,"Oh my! We're here to help any way we can! Just to clarify, have you checked your options here: ^AL",billing_payment_issue,product_quality_defect,0.95,,,
g0083,703832,Thanks for the info but this is only helpful if the listing actually states that it will come in it own box ... I can't see that anywhere on mine!,"To clarify, could you provide the specific Xbox purchased? We can look into it. ^SJ",compliment_positive_feedback,product_quality_defect,0.85,,,
g0084,1307745,(odr id 408-85496488195533) received A cheque for refund bt name on cheque is totally wrong. #wrongnamementionedoncheque,The name on order will reflect on the cheque. Please report this to our support team here: ^HA,refund_return_cancellation,billing_payment_issue,0.95,,,
g0085,2124935,. Your chat customer service is really amazing. Just had another fabulous interaction with your team &amp; I couldn't be happier. It's like talking to a real human w/ a personality. So refreshing. Thank you !,"I'm so glad to hear you had a great experience with us, Dana! Don't forget to leave feedback in the email survey. 😁 ^HC",compliment_positive_feedback,compliment_positive_feedback,1.0,,,
g0086,2619668,ordered for an RayBan RB2132 &amp; received a RB4165. Hw much more are u going 2 embarrass yourself &amp; turndown ur consumers?? &amp; Now I don’t find RB2132 in the same price range. Who pays for my time?,That's uncertain! Apologies for the inconvenience. We'd like to help you. May I know if you contacted our support team here: ^BS,billing_payment_issue,product_quality_defect,0.95,,,
g0087,791047,Finally!!! Super Excited 💓 Thank You,Yayy! I can feel the air of excitement. Glad to hear about the delivery your favorite book. ^VN,compliment_positive_feedback,compliment_positive_feedback,1.0,,,
g0088,2303038,your chat support is terrible,"I'm sorry for the difficulty! Without providing any account details, could you tell us what's going on? We're always here to help! ^MH",complaint_negative_other,complaint_negative_other,0.95,,,
g0089,290429,"is awesome. They made sure I got my order on time, despite saying it would be delayed. Maybe awesome customer service is the real reason they are killing retail.","I'm glad to hear you received your item on time, Bryan! Thank you so much for taking the time to let us know how we're doing! ^HC",compliment_positive_feedback,compliment_positive_feedback,0.98,,,
g0090,895971,Shame failed to deliver my copy!!!!,So sorry to hear this! Can you confirm the latest order status? You can find that here: ^TH,order_status_delivery,order_status_delivery,0.95,,,
g0091,2616439,I was promised my refund on 7 Nov. but still I didn't get that. Fake promises are given everyday by Amazon customer support. Kindly look into this issue.,I'm sorry to hear that. We wouldn't be able to access your account on Twitter. Please reply to the email you received from our team for further assistance. ^BV,refund_return_cancellation,refund_return_cancellation,0.95,,,
g0092,1821548,please launch a payment app from #Amazon,I'll have your suggestion forwarded to our team internally. ^GK,billing_payment_issue,general_inquiry,0.9,,,
g0093,1306451,Where is my order?? Order ID: 405-8076322-2037166 #disapoinrment #amazonservice #amazonindia #amazonprime #fraud,"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^SV",account_security,order_status_delivery,1.0,,,
g0094,1860195,"This is 3rd time in same month, amazon did blunder with pathetic service with me. I will be running compaign against",I'm sorry for the inconvenience due to recent instances. Please let us know what went wrong so we 1/2 ^SH,complaint_negative_other,complaint_negative_other,0.95,,,
g0095,1471710,"No. The CS rep asked me to cancel and reorder to get the game key, but after I canceled, it was no longer available. (PC digital download)",Please reach out to us by phone here: so we can look into sorting this out with you. ^AH,refund_return_cancellation,refund_return_cancellation,0.95,,,
g0096,381735,this is very bad service from #amazon that i refund the item 20 days back but still i didn't get my money back... Disgusting...,I'm sorry about the delay. Kindly connect with us here: we'd like to help. ^SG,refund_return_cancellation,refund_return_cancellation,0.95,,,
g0097,1223288,"Hey team, Im not able to Order RedMi A4 32gb on Amazon , even though its available. There is error coming",Redmi 4a can be purchased only during sale. Kindly check for the next sale from here: ^VN,app_website_technical,app_website_technical,0.95,,,
g0098,1710,where can I chat with a support member for a false charge,I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: ^BL,billing_payment_issue,billing_payment_issue,0.95,,,
g0099,486691,I haven’t received amazon pay cashback twice since September. I have also contacted customer care a number of times. Please look into the matter. Thank you.,"I’m sorry about this experience, Vikram. I'd like to closely look into this and get this investigated further. Please share your details here: and I'll get in touch with you. ^MK",compliment_positive_feedback,billing_payment_issue,0.95,,,
g0100,984226,My Pls Cal me on my Cell No you Customer Care is Not Connecting to Person,"To request a call, login to your account using the link here: &gt; Under 'Tell us more about (1/3) ^KA",unmatched,complaint_negative_other,0.85,,,
g0101,2627658,why do I pay for prime if my packages aren't here in 2 days?? I've had one order lost and another order was ordered on 10/31 and showed up yesterday,Hello Michelle! Thanks for reaching out today. Did we miss the agreed upon date given at the time of checkout for the item ordered? For full details on how shipping &amp; delivery dates are calculated please see here: ^TM,order_status_delivery,order_status_delivery,0.95,,,
g0102,2418373,Thanks but no thanks,I get you're upset with us. As mentioned earlier you can use Amazon pay balance on 3rd party website (1/2) ^AS,compliment_positive_feedback,complaint_negative_other,0.6,,,
g0103,2884853,Distraught over the legit worst customer service I’ve ever received from a company tonight.. EVER! I truly expected better of you.. especially after the thousands $ I’ve thrown your way. Time to shop elsewhere. #Boycott #Amazon,"I am very sorry to hear this. Can I ask, can you please explain the issue without giving sensitive account info so we can assist you further.^GA",complaint_negative_other,complaint_negative_other,0.95,,,
g0104,1959497,"I bought fake product in , but it was charged real product price. It was a doll to my daughter. Hope it’s not toxic.","Hi, was the order fulfilled by Amazon or a 3rd Party Seller? What Amazon website did you use to place the order? ^JJ",billing_payment_issue,product_quality_defect,0.95,,,
g0105,1010416,I requested a refund on a prime order that has not arrived a week later. Does this mean the package goes back to you?,Have you asked that the whole order be returned to us? ^BM,order_status_delivery,refund_return_cancellation,0.95,,,
g0106,419608,"Second instance I was sent a fake product, same Seller UBSPD - Wheels Behind the Veil - Pms, Cms and Beyond Sold by UBSPD",Have you reported it to the support team here: (2/2)^HR,product_quality_defect,product_quality_defect,0.95,,,
g0107,995480,Yes I get the message: There was a problem your password is incorrect I have made sure I'm entering it in correctly tried resetting 4 times,"Other than the password reset e-mails, have we sent any communication to you about your account? ^TR",account_security,account_security,0.95,,,
g0108,792731,dear Amazon I bought 3 books on 22 September but Amazon did not deliver my book.,Could you please confirm if we've missed the estimated delivery date? ^OS,order_status_delivery,order_status_delivery,0.98,,,
g0109,1572242,A product can't be sold for more than the printed MRP according to govt regulations. It's that simple.,The MRP may vary due to several factors as mentioned in the link provided earlier. Please contact us (1/2) ^MO,billing_payment_issue,billing_payment_issue,0.85,,,
g0110,2544881,Hey what’s the error here? How do I solve for it? Seems like a weird node loop,"I'm sorry for the Amazon Music issues! So we can best assist, what device are you using to access Amazon Music? ^WT",app_website_technical,app_website_technical,0.95,,,
g0111,2449698,It does not look like anything is broken however I did not receive the inside packing list,You can view the order details using the link below. Let us know if anything was missing/damaged: ^MJ,product_quality_defect,product_quality_defect,0.85,,,
g0112,17672,Hey wth does this mean? How can the iOS app on the phone be offline? #AmazonEcho,I'm sorry about the error you're seeing! Please try uninstalling and reinstalling the app. Let us know how it goes. ^JP,app_website_technical,app_website_technical,0.95,,,
g0113,809469,why is none of your air purifiers with HEPA can be shipped to addresses in California? Your Customer Service offers no solutions,Some states have restrictions that prevent us from shipping certain products. Learn more here: ^ZW,order_status_delivery,general_inquiry,0.85,,,
g0114,2880474,is discriminating in exchange prices for one plus 5 and one plus 5T. One plus 5 gives us 5700 and one plus 5T 2700. How is that determined? Shouldn't that be same? maybe you can follow up with the right people and offer same?,"I understand your concern regarding the exchange offer. However, the Exchange Offer program is dependent on our exchange partners and hence is dynamic. The offer being provided on the product is the best at this point of time. ^AP",billing_payment_issue,general_inquiry,0.85,,,
g0115,18679,Amazon truck damaged my lawn my lawn .Love Amazon . So sad no one called me back today as promised! Why?,Please send us your details here: so we can look into this for you. ^LI,product_quality_defect,complaint_negative_other,0.9,,,
g0116,627831,can I buy this product .. as the link redirects 2 app with felix brand and I am looking for Fitbit...da one I googled :... :-(,"Which Amazon site will you be using? (.com, .co.uk, .de, .in, .ca) ^GP",app_website_technical,app_website_technical,0.9,,,
g0117,205092,Seriously nearly lost the will to live. Can sign into Amazon account but not Kindle. Why??!!,I'm sorry for the sign in trouble! Are you getting an error message? Have you tried restarting your device? ^GL,account_security,account_security,0.9,,,
g0118,2544962,I’m still having problems. Just had someone send a link to close an account with aroudn 400 books instead of the account with no purchases. Is there anyone competent there?,What Amazon site did you purchase the books from? Was it or,app_website_technical,account_security,0.95,,,
g0119,2318345,Done so many times. did again just now. Amazon is worst service provider on earth now.,Thanks for the heads up. We will get back to you at the earliest possible. ^JS,complaint_negative_other,,,,,
g0120,1498595,your delivery has become pathetic and full of false promises.,Looks like you had an unpleasant experience. Please contact us here: so that we can assist you. ^JS,order_status_delivery,,,,,
g0121,476082,"No this was all organized by the business ""customer service"" team at #Amazon. Who should've requested collection.","Apologies, have you emailed agent you spoke to in order to inquire about a collection? ^JJ",unmatched,,,,,
g0122,384433,Didn’t receive today. Thank you for spoiling my sis birthday. It’s more than 24 hrs with no update. Pathetic,We're sorry things didn't work out as planned. We're working on your issue and we'll get in touch with an update soon. ^SQ,compliment_positive_feedback,,,,,
g0123,1249949,That is ur good luck that u got satisfaction from ...i hv the list of complaints with the fake promises...,"I understand that you had an unpleasant experience. If there's any issue of your account / order that went unaddressed, (1/2)^SC",product_quality_defect,,,,,
g0124,823164,would i need to use my friends email address to sign in or can i use my own but provide details of the account in question,You can use your own details to reach out to us. ^RS,account_security,,,,,
g0125,969322,"customer service is shit. They cuts the call snd also don't register complaints, i got an earphone instead of a pendrive delivered",I'm sorry for the experience you had with our support team. Kindly share your details in the link mentioned 1/2 ^GK,order_status_delivery,,,,,
g0126,1693607,Hey don't make fake promises today is 8th November still results were not declared shame on this type of lathergic services by Amazon India and promotion team,There has been a stretch on this and we understand that. We shall be working it out at the earliest. ^CB,product_quality_defect,,,,,
g0127,285044,Filled the form half an hour ago. No reply Never gonna buy anything from in future and encourage others to do the same.,Thank you for sharing your details. We've received them and we'll get in touch with you at the earliest. ^AU,app_website_technical,,,,,
g0128,737149,Not received any update .,If you've filled in your details through the link provided earlier. I'm sure our team would reach out to you soon. ^VM,unmatched,,,,,
g0129,2783117,Trying to find a place to download Net Galley books when my Kindle app isn't working is incredibly frustrating,"Hey, Taylor! Sorry to hear your Kindle app isn't working. Have you tried uninstalling then reinstalling the app to see if that solves the problem? ^RB",app_website_technical,,,,,
