golden_id,true_intent,true_escalate,pipeline_intent,pipeline_confidence,reply_draft,pipeline_grounded,pipeline_decision,pipeline_reason,pipeline_grounding_overlap,trivial_intent,trivial_reply,trivial_decision,trivial_reason,trivial_grounding_overlap,simple_intent,simple_reply,simple_decision,simple_reason,simple_grounding_overlap,customer_text,human_overall
g0176,complaint_negative_other,True,complaint_negative_other,0.95,We want to help make this right. Could you please share the details of what happened so we can look into it? ^SY,True,False,"high classifier confidence (0.95), grounded reply (similarity 0.57), no anger markers",0.238095238095238,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,order_status_delivery,Sorry for the delay! Could you share your order ID so we can check the latest tracking status?,True,classifier confidence 0.34 below threshold 0.5,0.0,yes but no satisfactory resolution hate your customer service,4
g0172,account_security,True,account_security,0.95,Apologies for the frustrating experience with our Account Specialists. Could you share more details about the message you received so we can review this? ^TP,True,True,intent 'account_security' involves money or account security — always routed to a human regardless of confidence,0.2631578947368421,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,order_status_delivery,Sorry for the delay! Could you share your order ID so we can check the latest tracking status?,True,classifier confidence 0.32 below threshold 0.5,0.0,"well, what a waste of time it was dealing with Amazon account specialist. Fraudulent activity on my acc. A copy n paste reply.",5
g0018,app_website_technical,True,general_inquiry,0.6,We'd like to take a closer look into this for you. Please reach out to us here with more details: ^PS,True,False,"high classifier confidence (0.60), grounded reply (similarity 0.72), no anger markers",0.4,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,app_website_technical,Sorry about that! Could you share your device/browser and what happens when the issue occurs?,False,classifier confidence 0.93 met threshold,0.0,"I haven't, because I had talked to your tele customer support call back from the app in the afternoon and the link seemed to be for same.",3
g0154,spam_unrelated,True,complaint_negative_other,0.6,Could you provide more details about the issue you are experiencing? ^AB,True,False,"high classifier confidence (0.60), grounded reply (similarity 0.55), no anger markers",0.0625,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,order_status_delivery,Sorry for the delay! Could you share your order ID so we can check the latest tracking status?,True,classifier confidence 0.48 below threshold 0.5,0.0,??,4
g0066,billing_payment_issue,True,billing_payment_issue,0.95,"Apologies for the trouble with your payment, Harshad. Please reach out to us here: amzn.to/support so we can look into this for you. ^VB",True,True,intent 'billing_payment_issue' involves money or account security — always routed to a human regardless of confidence,0.3333333333333333,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,refund_return_cancellation,We can help with that. Please share your order ID so we can start the refund/return process.,False,classifier confidence 0.52 met threshold,0.0,"I wanted to buy a prestige juicer from your site, done online payment twice but I don't know how it is cancelled.",5
g0186,product_quality_defect,True,product_quality_defect,0.95,I understand your concern. Could you please confirm sharing your details through the secure link provided here: ^AP,True,False,"high classifier confidence (0.95), grounded reply (similarity 0.57), no anger markers",1.0,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,order_status_delivery,Sorry for the delay! Could you share your order ID so we can check the latest tracking status?,False,classifier confidence 0.87 met threshold,0.0,"This is what they did with me, ordered and paid 1224 for JiowifiM2 &amp; Delivered JIofi150MB which Cost 999,Now say how2 Believe ?",4
g0142,refund_return_cancellation,True,refund_return_cancellation,0.95,I understand your concern about the refund. Please reach out to us via chat so we can review this for you. ^SY,True,False,"high classifier confidence (0.95), grounded reply (similarity 0.55), no anger markers",0.5625,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,refund_return_cancellation,We can help with that. Please share your order ID so we can start the refund/return process.,False,classifier confidence 0.91 met threshold,0.0,"nothing yet!are you going to refund my money? don't send me a link...refund by EOD, I am going to write this to Mr. Thota",1
g0079,general_inquiry,True,general_inquiry,0.95,Thanks for reaching out to us. Could you please share the link to the site in question so we can look into this for you? ^MA,True,False,"high classifier confidence (0.95), grounded reply (similarity 0.68), no anger markers",0.3157894736842105,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,product_quality_defect,Sorry to hear the item arrived damaged/incorrect. Please share your order ID so we can arrange a replacement or refund.,False,classifier confidence 0.53 met threshold,0.0,"Is this your official site or fake ? ,",5
g0025,app_website_technical,False,app_website_technical,0.95,I'm sorry for the trouble with the Android app. Could you elaborate on the issue you are facing so that we can assist you accordingly? ^SP,True,False,"high classifier confidence (0.95), grounded reply (similarity 0.56), no anger markers",0.6111111111111112,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,app_website_technical,Sorry about that! Could you share your device/browser and what happens when the issue occurs?,False,classifier confidence 0.66 met threshold,0.0,the difficulty of adding an an address in your Android app is embarrassing,4
g0104,product_quality_defect,True,product_quality_defect,0.95,I'm sorry to hear about your experience with this item. Please reach out to us here: https://amazon.com/gp/help/customer/contact-us so we can look into this for you. ^HS,True,False,"high classifier confidence (0.95), grounded reply (similarity 0.54), no anger markers",0.3,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,billing_payment_issue,Sorry about the charge confusion — please share your order ID so we can review the billing details.,True,intent 'billing_payment_issue' is always escalated regardless of confidence,0.0,"I bought fake product in , but it was charged real product price. It was a doll to my daughter. Hope it’s not toxic.",4
g0146,product_quality_defect,True,product_quality_defect,0.85,I'm sorry the packaging was damaged. You can check return and replacement options here: or reach out to us here: ^AN,True,False,"high classifier confidence (0.85), grounded reply (similarity 0.53), no anger markers",0.5416666666666666,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,compliment_positive_feedback,Thank you so much for the kind words — we'll pass it along to the team!,False,classifier confidence 0.75 met threshold,0.0,Thank you for embarrassing me by wrapping a gift with damaged paper. 1/n,2
g0161,general_inquiry,False,general_inquiry,0.9,Sorry for the trouble signing in to your teen account on the website. Please reach out to us via chat through our website so we can look into this further with you. ^YP,True,False,"high classifier confidence (0.90), grounded reply (similarity 0.56), no anger markers",0.25,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,app_website_technical,Sorry about that! Could you share your device/browser and what happens when the issue occurs?,False,classifier confidence 0.63 met threshold,0.0,"I am on my PC, when I get that error. Is there a way to make it so I can login through the Website with the teen account?",4
g0016,product_quality_defect,True,product_quality_defect,0.85,I'm sorry to hear about the issue with the invoice details on your products. Could you please share the order details with us via DM so we can look into this for you? ^SK,True,False,"high classifier confidence (0.85), grounded reply (similarity 0.59), no anger markers",0.3043478260869565,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,order_status_delivery,Sorry for the delay! Could you share your order ID so we can check the latest tracking status?,True,classifier confidence 0.42 below threshold 0.5,0.0,#fraud #chor Invoice with no Imei on most of the products,5
g0045,app_website_technical,False,refund_return_cancellation,0.95,I'm so sorry for the confusion with the return label. Let's take a closer look into this with you here: ^AB,True,False,"high classifier confidence (0.95), grounded reply (similarity 0.65), no anger markers",0.6666666666666666,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,refund_return_cancellation,We can help with that. Please share your order ID so we can start the refund/return process.,True,classifier confidence 0.49 below threshold 0.5,0.0,I picked ups pick up return option because it said I didn’t need a printer. Next page opens up and it says print label? 🤷‍♂️,5
g0199,app_website_technical,False,app_website_technical,0.95,Hi. You can change your country settings in the Amazon app menu by going to Settings and selecting Country/Region. ^NK,False,True,no sufficiently similar historical resolution found (best similarity 0.63) — drafted reply isn't grounded,0.2222222222222222,order_status_delivery,Thanks for reaching out — we're looking into this and will follow up with an update shortly.,False,trivial baseline never escalates,0.0,app_website_technical,Sorry about that! Could you share your device/browser and what happens when the issue occurs?,False,classifier confidence 0.75 met threshold,0.0,"just updated amazon app and it switched from USA to Mexico. I am in MX but shop way more from US site, how can i get the US app?",5
